subj,subjLabel,place,placeLabel,coord,birthyear
http://www.wikidata.org/entity/Q465664,Fausto Cercignani,http://www.wikidata.org/entity/Q1897,Cagliari,Point(9.116666666 39.216666666),1941
http://www.wikidata.org/entity/Q466048,Francesca da Rimini,http://www.wikidata.org/entity/Q13364,Ravenna,Point(12.199444444 44.417777777),1259
http://www.wikidata.org/entity/Q466808,Nanni Balestrini,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1935
http://www.wikidata.org/entity/Q466811,Gaspara Stampa,http://www.wikidata.org/entity/Q617,Padua,Point(11.877777777 45.406388888),1523
http://www.wikidata.org/entity/Q72833,Friedrich Christian Delius,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1943
http://www.wikidata.org/entity/Q73880,Marino Moretti,http://www.wikidata.org/entity/Q99937,Cesenatico,Point(12.4006894 44.2011897),1885
http://www.wikidata.org/entity/Q286600,Dacia Maraini,http://www.wikidata.org/entity/Q82670,Fiesole,Point(11.3 43.8),1936
http://www.wikidata.org/entity/Q287741,Sibilla Aleramo,http://www.wikidata.org/entity/Q6088,Alessandria,Point(8.62 44.913330555),1876
http://www.wikidata.org/entity/Q289762,Fabio Barcellandi,http://www.wikidata.org/entity/Q6221,Brescia,Point(10.220280555 45.538888888),1968
http://www.wikidata.org/entity/Q291866,Domiziana Giordano,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1959
http://www.wikidata.org/entity/Q294800,Aulus Gellius,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),123
http://www.wikidata.org/entity/Q294800,Aulus Gellius,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),125
http://www.wikidata.org/entity/Q294800,Aulus Gellius,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),130
http://www.wikidata.org/entity/Q296244,Vittorio Alfieri,http://www.wikidata.org/entity/Q6122,Asti,Point(8.206944444 44.9),1749
http://www.wikidata.org/entity/Q296272,Pietro Aretino,http://www.wikidata.org/entity/Q13378,Arezzo,Point(11.878055555 43.463055555),1492
http://www.wikidata.org/entity/Q361989,Lorenzo Mascheroni,http://www.wikidata.org/entity/Q628,Bergamo,Point(9.67 45.695),1750
http://www.wikidata.org/entity/Q366270,Guido Guinizelli,http://www.wikidata.org/entity/Q1891,Bologna,Point(11.342777777 44.493888888),1230
http://www.wikidata.org/entity/Q366328,Brunetto Latini,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1220
http://www.wikidata.org/entity/Q366464,Aloysius Bertrand,http://www.wikidata.org/entity/Q19944,Ceva,Point(8.033333333 44.383333333),1807
http://www.wikidata.org/entity/Q366793,Avienus,http://www.wikidata.org/entity/Q159685,Bolsena,Point(11.985833333 42.644722222),305
http://www.wikidata.org/entity/Q367422,Julius Firmicus Maternus,http://www.wikidata.org/entity/Q13670,Syracuse,Point(15.2875 37.069166666),400
http://www.wikidata.org/entity/Q367779,Elio Pagliarani,http://www.wikidata.org/entity/Q984280,Viserba,Point(12.53694444 44.08916667),1927
http://www.wikidata.org/entity/Q470067,Antonio Fogazzaro,http://www.wikidata.org/entity/Q6537,Vicenza,Point(11.55 45.55),1842
http://www.wikidata.org/entity/Q475477,Alessandro Tassoni,http://www.wikidata.org/entity/Q279,Modena,Point(10.92572 44.64582),1565
http://www.wikidata.org/entity/Q478030,Giovanni Ruffini,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.933983333 44.407186111),1807
http://www.wikidata.org/entity/Q370353,Eugenia Martinet,http://www.wikidata.org/entity/Q3367,Aosta,Point(7.320555555 45.737222222),1896
http://www.wikidata.org/entity/Q371439,Francesco Albergati Capacelli,http://www.wikidata.org/entity/Q1891,Bologna,Point(11.342777777 44.493888888),1728
http://www.wikidata.org/entity/Q371925,Corrado Alvaro,http://www.wikidata.org/entity/Q54650,San Luca,Point(16.066666666 38.15),1895
http://www.wikidata.org/entity/Q372032,Giuseppe Giacosa,http://www.wikidata.org/entity/Q9315,Colleretto Giacosa,Point(7.783333333 45.433333333),1847
http://www.wikidata.org/entity/Q372100,Helvius Cinna,http://www.wikidata.org/entity/Q3645136,Brixia,Point(10.225833333 45.539166666),-84
http://www.wikidata.org/entity/Q375998,Giovanni Pascoli,http://www.wikidata.org/entity/Q99954,San Mauro Pascoli,Point(12.416666666 44.1),1855
http://www.wikidata.org/entity/Q376979,Nadia Cavalera,http://www.wikidata.org/entity/Q52142,Galatone,Point(18.066666666 40.15),1950
http://www.wikidata.org/entity/Q378645,Carlo Emilio Gadda,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1893
http://www.wikidata.org/entity/Q378747,Boris Pahor,http://www.wikidata.org/entity/Q546,Trieste,Point(13.804166666 45.636111111),1913
http://www.wikidata.org/entity/Q154899,Giovanni de' Bardi,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1534
http://www.wikidata.org/entity/Q154899,Giovanni de' Bardi,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1534
http://www.wikidata.org/entity/Q160424,Paul the Deacon,http://www.wikidata.org/entity/Q53245,Cividale del Friuli,Point(13.435 46.0905),720
http://www.wikidata.org/entity/Q163079,Catullus,http://www.wikidata.org/entity/Q2028,Verona,Point(10.992777777 45.438611111),-83
http://www.wikidata.org/entity/Q163102,Henry (VII) of Germany,http://www.wikidata.org/entity/Q2656,Palermo,Point(13.361262 38.115658),1211
http://www.wikidata.org/entity/Q164889,"Manfred, King of Sicily",http://www.wikidata.org/entity/Q52691,Venosa,Point(15.816666666 40.966666666),1232
http://www.wikidata.org/entity/Q168443,William of Apulia,http://www.wikidata.org/entity/Q145694,Italian Peninsula,Point(14.0 42.0),1100
http://www.wikidata.org/entity/Q168707,Pliny the Younger,http://www.wikidata.org/entity/Q1308,Como,Point(9.086138888 45.81025),61
http://www.wikidata.org/entity/Q168962,Torquato Tasso,http://www.wikidata.org/entity/Q72672,Sorrento,Point(14.373611111 40.627777777),1544
http://www.wikidata.org/entity/Q298729,Gaius Lucilius,http://www.wikidata.org/entity/Q58898,Sessa Aurunca,Point(13.933333333 41.233333333),-179
http://www.wikidata.org/entity/Q301136,Lalla Romano,http://www.wikidata.org/entity/Q20013,Demonte,Point(7.3 44.316666666),1906
http://www.wikidata.org/entity/Q301136,Lalla Romano,http://www.wikidata.org/entity/Q20013,Demonte,Point(7.3 44.316666666),1906
