Indirizzo,Comune,Numero,Note,Civico,Cap,Frazione/Località,Insegna,Categorie
Piazza G. Marconi,Canazei,491,,21,38032,,PROFUMERIA COSTA,[]
Streda do Ruf de Antermont,Canazei,492,,6,38032,,BAR GARNÌ STELLA ALPINA,['BAR']
Via Streda Roma,Canazei,493,,3,38032,,BAR RISTORANTE HOTEL CROCE BIANCA,"['BAR', 'RISTORANTE', 'HOTEL']"
Streda Dolomites,Campitello di Fassa,494,,87,38032,,BAR RISTORANTE HOTEL VILLA ROSA,"['BAR', 'RISTORANTE', 'HOTEL']"
Streda de Morandin,Campitello di Fassa,495,,43,38032,,RISTORANTE SPORT HOTEL ENROSADIRA,"['RISTORANTE', 'HOTEL', 'SPORT']"
Streda Dolomites,Campitello di Fassa,496,,45,38032,,BAR RISTORANTE HOTEL RODODENDRO,"['BAR', 'RISTORANTE', 'HOTEL']"
Piazza Centrale,Campitello di Fassa,497,,,38032,,BAR AGNELLO,['BAR']
Streda Dolomites,Campitello di Fassa,498,,87,38032,,FAMIGLIA COOPERATIVA CAMPITELLO DI FASSA,[]
Via Mazzini Loc. Crosano,Brentonico,499,,97,38060,,BAR RISTORANTE HOTEL MIRAMONTI,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Garibaldi,Brentonico,500,,2,38060,,BAR RISTORANTE ALBERGO NENI,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Roma,Brentonico,501,,16,38060,,BAR RISTORANTE ALBERGO ZENI,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Borani Salvotti,Brentonico,502,,2,38060,San Giacomo,RISTORANTE HOTEL S. GIACOMO,"['RISTORANTE', 'HOTEL']"
Via Roma,Brentonico,503,,14,38060,,PANIFICIO TOGNI,['PANIFICIO']
,Brentonico,504,,1,38060,Santa Caterina,PIZZERIA LA PINETA,['PIZZERIA']
Piazza Generale Dalla Chiesa,Brentonico,505,,25,38060,,SAV FORMAGGI,[]
Via Roma,Brentonico,506,,22,38060,,TABACCHERIA RIGO,[]
Via Fabio Filzi,Brentonico,507,,19/a,38060,,PASSERINI CALZATURE,['CALZATURE']
Via Roma,Brentonico,508,,5,38060,,ALIMENTARI ANDREOLLI,['ALIMENTARI']
Via Clemente,Brentonico,509,,1,38060,Castione,ALIMENTARI CANALI,['ALIMENTARI']
Via Roma,Brentonico,510,,49,38060,,BAR COMMERCIO,['BAR']
Via Roberti,Brentonico,511,,3,38060,,FAMIGLIA COOPERATIVA BRENTONICO,[]
Via Mazzini,Brentonico,512,,1,38060,Crosano,FAMIGLIA COOPERATIVA CROSANO,[]
Via 3 Novembre,Brentonico,513,,47,38060,Cornè,FAMIGLIA COOPERATIVA CORNÈ,[]
Via Prof. Vanzetta,Ziano di Fiemme,514,,,38030,,BAR IL BUNKER,['BAR']
Via Alpini,Villa Lagarina,515,,28,38060,,RISTORANTE HOTEL AL PONTE,"['RISTORANTE', 'HOTEL']"
,Villa Lagarina,516,,1,38060,Lago di Cei,BAR RISTORANTE ALBERGO LAGO DI CEI,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via XXV Aprile,Villa Lagarina,517,,10,38060,,BAR ROMA,['BAR']
Via XXV Aprile,Villa Lagarina,518,,28,38060,,FARMACIA DE PROBIZER,['FARMACIA']
Via del Torchio,Villa Lagarina,519,,64,38060,,FAMIGLIA COOPERATIVA DI CASTELLANO,[]
Via Sant’Antonio,Villa Lagarina,520,,,38060,,FAMIGLIA COOPERATIVA DI PEDERSANO,[]
Via XXV Aprile,Villa Lagarina,521,,50,38060,,FAMIGLIA COOPERATIVA VILLA LAGARINA,[]
Via Brigata Abruzzi,Pieve Tesino,522,,4,38050,,TESINO MARKET,[]
Piazza Garibaldi,Pieve Tesino,523,,4,38050,,BAR CENTRALE,['BAR']
Piazza Garibaldi,Pieve Tesino,524,,2,38050,,PUNTO ROSSO ALIMENTARI,['ALIMENTARI']
,Avio,525,,,38063,Madonna della Neve / Valdomenegal,BAR RISTORANTE ALBERGO ALPINO,"['BAR', 'RISTORANTE', 'ALBERGO']"
Viale Alcide De Gasperi,Avio,526,,13,38063,,BAR NUOVO,['BAR']
Via Vignola,Avio,527,,25,38063,,CASEIFICIO SOCIALE SABBIONARA,[]
Piazza Conciliazione,Avio,528,,17,38063,,RIVENDITA FUMANELLI GEDEONE,[]
Via Regina Elena,Avio,529,,18,38063,,PANIFICIO SEGA DIEGO,['PANIFICIO']
Piazza Roma,Avio,530,,5,38063,,FAMIGLIA COOPERATIVA AVIO,[]
Via Venezia,Avio,531,,75,38063,,BAR SPORT,"['BAR', 'SPORT']"
Via General Cantore,Avio,532,,41,38063,,BAR TRATTORIA ALLA STAZIONE,['BAR']
Via Regina Elena,Avio,533,,12,38063,,CADEN CARLO ABBIGLIAMENTO,[]
Via Teatro,Avio,534,,5,38063,,CADEN TENDAGGI,[]
Via S. Antonio,Avio,535,,28,38063,,CONFEZIONI DA IDA,[]
,Avio,536,,,38063,Borghetto,BAR RISTORANTE ALBERGO MONTE BALDO,"['BAR', 'RISTORANTE', 'ALBERGO']"
,Avio,537,,,38063,Madonna della Neve / Valdomenegal,RIFUGIO ESCURSIONISTICO MONTE BALDO,[]
Piazza Roma,Avio,538,,4,38063,,FARMACIA COOPERATIVA,['FARMACIA']
Viale Alcide De Gasperi,Avio,539,,82,38063,,FALEGNAMERIA MABBONI,[]
Via F.lli Bronzetti,Cavalese,540,,27,38033,,DELIZIE WELPONER,[]
Viale Dante,Tione di Trento,541,,42,38079,,FARMACIA BONI,['FARMACIA']
Via Al Ponte,Isera,542,,10,38060,,PANIFICIO MODERNO,['PANIFICIO']
Piazza San Vincenzo,Isera,543,,10,38060,,FAMIGLIA COOPERATIVA DI ISERA,[]
Via Roma,Primiero San Martino di Castrozza,544,,30,38054,Tonadico,RISTORANTE BAR HOTEL TRESSANE,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Roma,Primiero San Martino di Castrozza,545,,26,38054,Tonadico,RISTORANTE PARK HOTEL IRIS,"['RISTORANTE', 'HOTEL']"
Via Roma,Primiero San Martino di Castrozza,546,,8,38054,Tonadico,RISTORANTE HOTEL PRIMIERO,"['RISTORANTE', 'HOTEL']"
Via Roma,Primiero San Martino di Castrozza,547,,2,38054,Tonadico,IL NEGOZIO DEL PANE,[]
Via Roma,Primiero San Martino di Castrozza,548,,2,38054,Tonadico,PANIFICIO CENTRALE DI PRIMIERO,['PANIFICIO']
Via Sorelle Lucian,Primiero San Martino di Castrozza,549,,5,38054,Tonadico,BAR ALBERGO TRE PONTI,"['BAR', 'ALBERGO']"
Via Roma,Primiero San Martino di Castrozza,550,,8,38054,Tonadico,RISTORANTE BAR LANTERNA VERDE,"['BAR', 'RISTORANTE']"
Via Scopoli,Primiero San Martino di Castrozza,551,,43,38054,Tonadico,EDICOLA BAZAR TABACCHI,"['TABACCHI', 'BAZAR']"
Via Scopoli,Primiero San Martino di Castrozza,552,,37,38054,Tonadico,BAR CENTRALE,['BAR']
Via Card. Bernardin,Primiero San Martino di Castrozza,553,,2,38054,Tonadico,NON SOLO PANE,[]
Via Scopoli,Primiero San Martino di Castrozza,554,,40,38054,Tonadico,FAMIGLIA COOPERATIVA DI TONADICO,[]
Piazza San Giorgio,Castello Tesino,555,,3,38053,,OREFICERIA OROLOGERIA MULLER,[]
Via Dante,Castello Tesino,556,,12/A,38053,,FARMACIA RIGONI,['FARMACIA']
Piazza San Giorgio,Castello Tesino,557,,8,38053,,BAR PIZZERIA CROSARA,"['BAR', 'PIZZERIA']"
Piazza San Giorgio,Castello Tesino,558,,5,38053,,BAR ROMA,['BAR']
Via Donato Pelloso,Castello Tesino,559,,13/A,38053,,FAMIGLIA COOPERATIVA DI CASTELLO TESINO,[]
Via Venezia,Castello Tesino,560,,18,38053,,BAR ORATORIO,['BAR']
,Castello Tesino,561,,2,38053,Passo Brocon,RISTORANTE BAR ALBERGO PASSO BROCON “DA S’CIOPO”,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza Trento,Castello Tesino,562,,1,38053,,FIORI E VERDURA,[]
Piazza Trento,Castello Tesino,563,,3,38053,,EMPORIO DIEGO ZOTTA,[]
,Castello Tesino,564,,2,38053,Molini,BAR AL PONTE,['BAR']
Via Baili,Castello Tesino,565,,4,38053,,MACELLERIA BOSO,['MACELLERIA']
Via Roma,Castello Tesino,566,,17,38053,,BAR RISTORANTE ALBERGO BELLAVISTA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza Marconi,Castello Tesino,567,,1,38053,,ABBIGLIAMENTO BAILO,[]
Piazza Marconi,Castello Tesino,568,,5,38053,,ALIMENTARI DA CELESTINO,['ALIMENTARI']
Via Terrasanta,Castello Tesino,569,,7,38053,,ALIMENTARI MORANDUZZO,['ALIMENTARI']
Piazza Marconi,Castello Tesino,570,,4,38053,,CAFFÈ MARCONI,[]
Piazza Marconi,Castello Tesino,571,,3,38053,,TABACCHI ZAMPIERO,['TABACCHI']
Piazza Righi,Pinzolo,572,,28,38086,Madonna di Campiglio,CHALET FERRARI,[]
Piazza Righi,Pinzolo,573,,30,38086,Madonna di Campiglio,CHALET FERRARI REGALO,[]
Via Rosmini,Trento,574,,78,38122,,ZANELLA ARREDAMENTI,[]
Via Dante,Levico Terme,575,,7/B,38065,,ALIMENTARI RICCIO STEFANIA,['ALIMENTARI']
Corso Centrale,Levico Terme,576,,38,38065,,ETA BETA DI GRISENTI GIORGIA,[]
Via Dante,Levico Terme,577,,16,38065,,FERRAMENTA CASALINGHI ROSA,['FERRAMENTA']
Via Marchi,Ronchi Valsugana,578,,2,38050,,FAMIGLIA COOPERATIVA LAGORAI,[]
Viale Venezia,Castelnuovo,579,,20,38050,,SIMONETTO CARNI,[]
,Moena,580,,37,38035,Sén Pelegrin,BAR RISTORANTE HOTEL COSTABELLA,"['BAR', 'RISTORANTE', 'HOTEL']"
Strada E. Zanoner Canori,Moena,581,,,38035,,MACELLERIA FELICETTI,['MACELLERIA']
Strenta de Ischiacia,Moena,582,,14,38035,,ELETTRODOMESTICI DE PELLEGRINI,[]
Strada de la Comunità de Fiem,Moena,583,,11,38035,,SEGHERIA ZANONER,[]
Via 3 Novembre,Pomarolo,584,,3,38060,,MACELLERIA FASANELLI,['MACELLERIA']
Via Vittorio Emanuele,Grigno,585,esercizio commerciale,27,38055,,MINATI ROBERTA,[]
Via Nuova,Ledro,586,,6,38067,,BAR RISTORANTE ALBERGO SILVANA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza Sanzio,Trento,587,,9,38122,,EDICOLA TABACCHI SANNICOLÒ GABRIELE,['TABACCHI']
Corso Ausugum,Borgo Valsugana,588,,40,38051,,FARMACIA CENTRALE,['FARMACIA']
Via Padri Morizzo,Borgo Valsugana,589,,20,38051,,SIMONETTO CARNI,[]
Piazza Battisti,Cavalese,590,,12,38033,,FAMIGLIA COOPERATIVA DI CAVALESE,[]
Corso Bettini,Rovereto,591,,54,38068,,DAMIATA MOTO,[]
Via Ragazzi del '99,Trento,592,attività artigianale,39,38123,,NEON TRENTO SCOTUZZI,[]
Via Maffei,Riva del Garda,593,,13,38066,,CASA DEL CAFFÈ,[]
Piazza di Sant'A. Abate,Vallelaghi,594,,5,38070,Vezzano,RISTORANTE PIZZERIA LILLÀ,"['RISTORANTE', 'PIZZERIA']"
,Folgaria,595,,32,38064,Francolini,BAR HOTEL SEGGIOVIA,"['BAR', 'HOTEL']"
Via Schirni,Folgaria,596,,13,38064,,PANIFICIO CANALIA,['PANIFICIO']
Via E. Colpi,Folgaria,597,,191,38064,,FOLGARIA FASHION SPORT,['SPORT']
Via A. Maffei,Folgaria,598,,134,38064,,BAR RISTORANTE HOTEL BIANCANEVE,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Nazionale,Folgaria,600,,69,38064,,BAR RISTORANTE HOTEL ERICA,"['BAR', 'RISTORANTE', 'HOTEL']"
Via E. Colpi,Folgaria,601,,48,38064,,BAR RISTORANTE ANTICO ALBERGO STELLA D'ITALIA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Manzoni,Folgaria,602,,63,38064,,BAR RISTORANTE ALBERGO TRENTINO,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via E. Colpi,Folgaria,603,,10,38064,,CALZATURE FAIT,['CALZATURE']
Via E. Colpi,Folgaria,604,,179,38064,,FARMACIA GIRARDI,['FARMACIA']
Via Dante Alighieri,Folgaria,605,,12,38064,,BAR RISTORANTE PARK HOTEL MIRAMONTI,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Lega Nazionale,Folgaria,606,,41,38064,,BAR RISTORANTE ALBERGO DUE SPADE,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza S. Lorenzo,Folgaria,607,,11,38064,,MERCERIA RELLA,[]
Piazza Oveno,Trento,609,,1,38123,Sopramonte,SALUMERIA BELLI,[]
,Comano Terme,610,esercizio commerciale,58,38077,Ponte Arche,BONANI GIULIANA,[]
Via Calepina,Trento,611,,4,38122,,BAR FIORENTINA,['BAR']
Via Nazionale,Pellizzano,612,esercizio commerciale,35,38020,,AMBROSI SILVIO LUIGI,[]
Piazza San Vittore,Predaia,613,,19,38012,Taio,MACELLERIA MALENCH,['MACELLERIA']
Via S. Martino,Trento,614,,90,38122,,BAR DEI CAVAI,['BAR']
Piazza C. Battisti,Riva del Garda,615,,14,38066,,BRESCIANI SOUVENIR,[]
Via Mazzini,Riva del Garda,616,,13,38066,,PROFUMERIE BRESCIANI,[]
Strada de Moene,Moena,617,,31,38035,,BAR DELL'HOTEL RANCOLIN,"['BAR', 'HOTEL']"
Strada de la Comunità de Fiem,Moena,618,,34,38035,,MOBILIFICIO ARTIGIANI ASSOCIATI,[]
Piaz de Ramon,Moena,619,,27,38035,,BAR GABRY,['BAR']
Piaz de Ramon ,Moena,620,,41,38035,,BAR RAMON,['BAR']
Strenta de Ischiacia,Moena,621,,1,38035,,ENOTECA DEL PINTER,[]
Piaz de Ramon,Moena,622,,41,38035,,GIOIELLERIA CROCE,[]
Strada de Moene ,Moena,623,,67,38035,,BAR DELL'HOTEL ALLE ALPI,"['BAR', 'HOTEL']"
Piaz de Ramon,Moena,624,,45,38035,,LA BORA,[]
Strada de Fachin,Moena,625,,3,38035,,NONSOLOMODA,[]
Via Fiume,Riva del Garda,626,,29,38066,,PELLETTERIA GRAZIA S.A.S.,[]
Viale IV Novembre 35,Cembra Lisignago,627,,,38034,Cembra,MACELLERIA ZANOTELLI,['MACELLERIA']
Via Damiano Chiesa  6,Cembra Lisignago,628,,,38034,Cembra,PANIFICIO GAIGHER,['PANIFICIO']
Viale IV Novembre 35,Cembra Lisignago,629,,82,38034,Cembra,FERRAMENTA PIU',['FERRAMENTA']
Viale IV Novembre 35,Cembra Lisignago,630,,78,38034,Cembra,IDEA CASA,[]
Piazza San Rocco,Cembra Lisignago,631,,2,38034,Cembra,MACELLERIA PAOLAZZI,['MACELLERIA']
Piazza Marconi,Cembra Lisignago,632,,6,38034,Cembra,BAR VICO,['BAR']
Viale IV Novembre 17,Cembra Lisignago,633,,,38034,Cembra,BAR ROSALPINA,['BAR']
Piazza Municipio ,Caldonazzo,634,,2,38052,,ALBERGO RISTORANTE BAR DUE SPADE,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via delle Villa,Caldonazzo,635,,37,38052,,ALBERGO RISTORANTE BAR ALLA TORRE,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza Municipio,Caldonazzo,636,,14,38052,,CASALINGHI FERRAMENTA MURARA,['FERRAMENTA']
Via Brenta,Caldonazzo,637,,9,38052,,MOBILI CIOLA,[]
Via G. Marconi,Luserna,638,,1,38040,,BAR RISTORNATE ROSSI,['BAR']
Via Asilo,Primiero San Martino di Castrozza,639,,26,38054,Siror,MACELLERIA BONELLI,['MACELLERIA']
Via Larga,Primiero San Martino di Castrozza,640,,11,38054,Siror,PANIFICIO PASTICCERIA ZANETEL ARRIGO,['PANIFICIO']
Via Larga ,Primiero San Martino di Castrozza,641,,13,38054,Siror,BAR HOTEL SIROR,"['BAR', 'HOTEL']"
Via Passo Rolle,Primiero San Martino di Castrozza,642,,76,38054,San Martino di Castrozza,CAFFE' CENTRALE DI GIAN LUIGI SECCO E C.,[]
Via Passo Rolle,Primiero San Martino di Castrozza,643,,74,38054,San Martino di Castrozza,RISTORANTE ALBERGO CENTRALE,"['RISTORANTE', 'ALBERGO']"
Via Passo Rolle,Primiero San Martino di Castrozza,644,,185,38054,San Martino di Castrozza,BAZAR DELL'ALPE,['BAZAR']
Via Laghetto,Primiero San Martino di Castrozza,645,,4,38054,San Martino di Castrozza,BANCHER S.A.S. DI TISOT ADELIA E C.,[]
Via Strada Nuova ,Folgaria,646,,8,38064,,ALBERGO BAR RISTORANTE ROSALPINA DI CANALIA GABRIELE,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via A. Maffei,Folgaria,647,,52,38064,Costa,ALBERGO BAR RISTORANTE SAYONARA DI RECH WILLIAM,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Cesare Battisti,Cembra Lisignago,648,,33/1,38034,Cembra,NIC S.A.S. DI NICOLODI MARTINO,[]
Piazza Marconi,Cembra Lisignago,649,,3,38034,Cembra,FAMIGLIA COOPERATIVA DI CEMBRA,[]
Piazza Marconi,Cembra Lisignago,650,,8,38034,Cembra,TABACCHINO DI FADANELLI MAURA,['TABACCHI']
Viale IV Novembre,Cembra Lisignago,651,,51,38034,Cembra,BAR PIZZERIA SAINT ROCK,"['BAR', 'PIZZERIA']"
Piazza San Giovanni,Fondo,652,,16,38013,,BAZAR COVI,['BAZAR']
Via IV Novembre,Fondo,653,,1,38013,,CALZATURE SCHNEIDER,['CALZATURE']
Via Battisti,Fondo,654,,25,38013,,EUROPAFERR FERRAMENTA DI ZINI MAURO GIOVANNI,['FERRAMENTA']
Via Battisti,Fondo,655,,10,38013,,BATTISTI CALZATURE DI BATTISTI ALBERTO,['CALZATURE']
Via Inama,Fondo,656,,2,38013,,ZANONI PREZIOSI ,[]
Via Lago Smeraldo,Fondo,657,,18,38013,,PIZZERIA-RISTORANTE AL FOLON,"['RISTORANTE', 'PIZZERIA']"
Via Milano ,Bieno,658,,10,38050,,BAR RISTORANTE TRENTO,"['BAR', 'RISTORANTE']"
Via Valserena ,Primiero San Martino di Castrozza,659,,36,38054,Siror,BIRRERIA VALSERENA,[]
Via S. Andrea,Primiero San Martino di Castrozza,660,,5,38054,Siror,BAR CAFFE' ERO,['BAR']
Via Passo Rolle,Primiero San Martino di Castrozza,661,,183,38054,San Martino di Castrozza,BAR MARGHERITA,['BAR']
Via Passo Rolle,Primiero San Martino di Castrozza,662,,133,38054,San Martino di Castrozza,ESTETICA PROFUMERIA TISOT,[]
Via Rivetta,Primiero San Martino di Castrozza,663,,23,38054,Siror,CALZATURE BANCHER SEVERINO,['CALZATURE']
Via Passo Rolle,Primiero San Martino di Castrozza,664,,2,38054,San Martino di Castrozza,RISTORANTE ALBERGO FRATAZZA,"['RISTORANTE', 'ALBERGO']"
Via S. Andrea,Primiero San Martino di Castrozza,665,,4,38054,San Martino di Castrozza,FAMIGLIA COOPERATIVA DI SIROR,[]
Via Avisio,Castello-Molina di Fiemme,666,,6,38030,,BAR ALLA TORRE,['BAR']
Via Latemar,Castello-Molina di Fiemme,667,,16,38030,,RISTORANTE ALBERGO LATEMAR S.N.C. DI BETTA MARISA E &.,"['RISTORANTE', 'ALBERGO']"
Via Bolzano,Castello-Molina di Fiemme,668,,22,38030,Molina di Fiemme,CAVADA DOLORES DI CAVADA UGO & C. S.N.C.,[]
,Castello-Molina di Fiemme,669,,19,38030,Stramentizzo Nuovo,BAR RISTORANTE PIZZERIA AL LAGO,"['BAR', 'RISTORANTE', 'PIZZERIA']"
Via Cadino,Castello-Molina di Fiemme,670,,2,38030,Molina di Fiemme,BAR RISTORANTE ALBERGO PINETA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Marconi,Castello-Molina di Fiemme,671,,4,38030,Molina di Fiemme,RISTORANTE ALBERGO ANCORA DI ZANCANELLA PAOLO E LUCIA S.N.C.,"['RISTORANTE', 'ALBERGO']"
Via Marconi,Castello-Molina di Fiemme,672,,17,38030,Molina di Fiemme,PANIFICIO TARTER DI MARCO TARTER & C. S.N.C.,['PANIFICIO']
Via Marconi,Castello-Molina di Fiemme,673,,23,38030,Molina di Fiemme,FAMIGLIA COOPERATIVA DI CAVALESE - MOLINA DI FIEMME - PREDAIA,[]
Via Roma,Castello-Molina di Fiemme,674,,11,38030,,FAMIGLIA COOPERATIVA DI CAVALESE - CASTELLO DI FIEMME,[]
Piazza San Giovanni,Fondo,675,,37,38013,,CARTOLERIA GIOCATTOLI BERTOLDI,[]
Piazza San giovanni,Fondo,676,,15,38013,,LA BOTTEGA DI ZAMBIASI,[]
Via IV Novembre,Fondo,677,,70,38013,,LATTERIA SOCIALE DI FONDO,[]
Via Battisti,Fondo,678,,20,38013,,FAMIGLIA COOPERATIVA VAL DI NON,[]
Via del Foro,Tione di Trento,679,,16,38079,,CAFFE' VECCHIA TIONE,[]
Via Roma,Sanzeno,680,,9,38010,Casez,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - CASEZ,[]
Via Nazionale,Sanzeno,681,,28,38010,,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - SANZENO,[]
Via Mazzini,Sanzeno,682,,2,38010,Banco,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - BANCO,[]
Piazza Centrale,Sanzeno,683,,38/A,38010,,BAR ALLA FONTANA DI BALDO ONESTINGHEL OLGA & C.,['BAR']
Via Mazzini,Sanzeno,684,,3,38010,Banco,BAR MARINELLI,['BAR']
,Sanzeno,685,,48,38010,Banco,BAR DALPIAZ,['BAR']
Via Roma,Sanzeno,686,,48,38010,Casez,HOTEL CASEZ,['HOTEL']
Via S. Romedio ,Sanzeno,687,,18,38010,,RISTORANTE AL MULINO,['RISTORANTE']
Via Roma,Castello-Molina di Fiemme,688,,34,38030,,PANIFICIO ZORZI DI ZORZI EZIO & C. S.N.C.,['PANIFICIO']
Via Italia,Castello-Molina di Fiemme,689,,10,38030,Molina di Fiemme,BAR SPORT,"['BAR', 'SPORT']"
Piazza Dante,Fondo,690,,5,38013,,QUEN CONFEZIONI,[]
Via Restel de Fer,Riva del Garda,691,,10,38066,,RESTEL DE FER,[]
Via Giovanelli A.,Carano,692,,43,38033,,DELVAI MARKET S.N.C. DI DELVAI NICOLETTA E CARESIA DIEGO,[]
Via Calepina,Trento,693,,40,38122,,TUTTO LUCE SAS,[]
Via S. Croce,Trento,694,,48,38122,,BAR TRE PORTONI,['BAR']
Via Roma,Ospedaletto,695,,22,38050,,BAR ROMA,['BAR']
Corso Tre Novembre,Trento,696,,44,38122,,FIORERIA STELLA,[]
Via Fiume,Riva del Garda,697,esercizio commerciale,55,38066,,CONTINI,[]
Via Battisti,Pergine Valsugana,698,,8,38057,,A. CRIVELLARI – COSE DI CASA,[]
Piazza Spiaz de le Oche,Pergine Valsugana,699,esercizio commerciale,33,38057,,FRISANCO,[]
Via Maturi,Pinzolo,700,,1,38086,,ALIMENTARI CAOLA,['ALIMENTARI']
Via Lampi ,Cles,701,esercizio commerciale/attività artigianale,9,38023,,LA BOTTEGA DEL MOLETA,[]
Piazza Navarrino,Cles,702, ,7,38023,,ALBERGO RISTORANTE CLES – OSTERIA PALAZAN,"['RISTORANTE', 'ALBERGO']"
Piazza Granda,Cles,703,,5,38023,,CAFF'E EUROPA,[]
Via Pilati,Cles,704,,13,38023,,FARMACIA DE MAFFEI ,['FARMACIA']
Piazza Granda,Cles,705,,43,38023,,CAFFÈ BERTOLASI,[]
Piazza Granda,Cles,706,,3,38023,,VISINTAINER CARTOLIBRERIA,[]
Piazza Pez,Cles,707,,1,38023,,ROSANI ALIMENTARI,['ALIMENTARI']
Via Marconi,Cles,708,,38-44,38023,,SEGHERIA LONGO,[]
Via Diaz,Cles,709,,6/A,38023,,ALIMENTARI PAOLI S.N.C.,['ALIMENTARI']
Via Lampi ,Cles,710,,26,38023,,MACELLERIA AGOSTINI LUIGI,['MACELLERIA']
Via Pilati,Cles,711,esercizio commerciale,9,38023,,MENAPACE IVO,[]
Piazza Granda,Cles,712,esercizio commerciale,40,38023,,VALENTINOTTI FRANCESCO,[]
Piazza Municipio ,Cles,713,esercizio commerciale,6,38023,,ANGELI FLAVIO,[]
Piazza Granda,Cles,714,,23,38023,,OREFICERIA A. CORRADINI,[]
Piazza Municipio,Cles,715,esercizio commerciale,4,38023,,ANGELI NICOLA,[]
Piazza Municipio ,Cles,716,,7,38023,,PREZIOSI STELLA,[]
Via Lampi ,Cles,717,,2,38023,,PESCHERIA GOIO,[]
Piazza Granda,Cles,718,,30,38023,,COLORIFICIO PIZ,[]
Via Battisti,Sarnonico,719,esercizio commerciale,51,38011,,ABRAM VITTORIO E C. SNC,[]
Via IV Novembre,Sarnonico,720,,2,38011,,BAZAR GIORNALI DI CATTARINI VINCENZO,['BAZAR']
Via Trento,Cavedine,721,,14,38073,Stravino,CALZATURE DALLAPÈ,['CALZATURE']
Via Santa Lucia,Ledro,722,esercizio di somministrazione di alimenti e bevande,36,38067,Bezzecca,BAITA SANTA LUCIA,[]
Via dei Laghi,Tenno,723,esercizio di somministrazione di alimenti e bevande,1,38060,,ANTICA CROCE,[]
Via Postal,S. Michele all’Adige,724,esercizio commerciale,29,38010,Grumo,MOBILI ZENI LINO S.R.L.,[]
Via Tonale,S. Michele all’Adige,725,,23,38010,Grumo,HOTEL CANTALEONE,['HOTEL']
Via Brennero,S. Michele all’Adige,726,,32,38010,,BAR AL TURISTA,['BAR']
,Canazei,727,,17,38032,Penia / Fedaia,BAR DIGA,['BAR']
,Ala,728,pubblico esercizio – somministrazione di alimenti e bevande – pizzeria,,38061,Sega,ALBERGO MONTILESSINI,"['ALBERGO', 'PIZZERIA']"
Piazza G. Cantore,Ala,729,,1,38061,,BAR EUGENIA,['BAR']
Piazzetta Cantore,Ala,730,,5,38061,,BAR TABACCHI DI BONGIOVANNI MAURO,"['BAR', 'TABACCHI']"
Via 27 Maggio,Ala,731,,,38061,,MACELLERIA DEBIASI SERGIO,['MACELLERIA']
Piazza Buonacquisto,Ala,732,pubblico esercizio – somministrazione di alimenti e bevande – bar/trattoria,4,38061,,VECCHIO CARNERA,['BAR']
Via Cesare Battisti,Comano Terme,733,,19,38077,,OREFICERIA CATTONI DI CATTONI CLAUDIO,[]
Via Cesare Battisti,Comano Terme,734,,17,38077,,CATTONI ELETTRONICA DI CATTONO ROBERTO,[]
,Rabbi,735,ristorante – bar,55,38020,San Bernardo,HOTEL MIRAMONTI,"['BAR', 'RISTORANTE', 'HOTEL']"
Piazza SS. Filippo e Giacomo,Predazzo,736,esercizio commerciale,4,38037,,LE LUZIE,[]
Piazza Catena,Riva del Garda,737,esercizio commerciale,21,38066,,MARCHETTI,[]
Via 24 Maggio,Trento,738,esercizio commerciale,9,38122,Trento,INDAL,[]
Via dei Bagni di Fieno,Garniga Terme,739,esercizio commerciale,17,38060,,ZANLUCCHI SOFIA & C. S.A.S.,[]
Stradon de Fascia ,Soraga di Fassa,740,ristorante - bar,2,38030,,RISTORANTE BAR JA VITO DI VENDER KATIA E C. S.N.C.,"['BAR', 'RISTORANTE']"
Via Cesare Battisti,Tesero,741,parrucchiera (impresa artigiana con vendita di prodotti),6/A,38038,,SALONE FUORI DI TESTA DI POZZA NADIA,[]
Via Bolghera,Trento,742,"esercizio commerciale/attività artigianale (pasticceria, gelateria)",34,38122,,FILIPPI E GARDUMI S.N.C. DI GARDUMI RENZO & C.,[]
