Indirizzo,Comune,Numero,Note,Civico,Cap,Frazione/Località,Insegna,Categorie
Via L. Cadorna,Folgaria,79,,27,38064,,RISTORANTE ALBERGO MILANO DI CAPPELLETTI PAOLA,"['RISTORANTE', 'ALBERGO']"
Via E. Colpi,Folgaria,80,,61,38064,,BAR PASTICCERIA DALSASS DI CUEL SILVANA & C. SNC,['BAR']
Via Pasubio,Folgaria,81,,26,38064,Serrada,BAR CENTRALE DI CANALIA LUISA,['BAR']
Via E. Colpi,Folgaria,82,,233,38064,,PIZZERIA SCOIATTOLO CENTER SERVICE DI COROTTI GIANDARLO & C. SAS,['PIZZERIA']
Via E. Colpi,Folgaria,83,,127,38064,,ORTOFRUTTA GASPEROTTI FULVIO,[]
Via Roma,Folgaria,84,,85,38064,,ORTOFRUTTA VENERI PAOLO,[]
Via E. Colpi,Folgaria,85,,9,38064,,MINIMARKET TARGHER S.A.S. DI TARGHER MAURO & C.,[]
Via Nazioni Unite,Folgaria,86,,40,38064,Costa,PANIFICIO BARBETTI GUIDO DI BARBETTI BRUNO & C. S.N.C.,"['BAR', 'PANIFICIO']"
Via E. Colpi,Folgaria,87,,170,38064,,RISTORANTE HOTEL ALPINO S.R.L.,"['RISTORANTE', 'HOTEL']"
Via E. Colpi,Folgaria,88,,343,38064,,RISTORANTE LOCANDA DA UGO DI LEITEMPERGHER ETTORE,['RISTORANTE']
Via G. Carducci,Folgaria,89,,45,38064,Carbonare,BAZAR TABACCHI PEROTTO LUCIA ASSUNTA,"['TABACCHI', 'BAZAR']"
Via E. Colpi,Folgaria,90,,143,38064,,FOTO OTTICA PLOTEGHER ALCIDE,[]
Via A. Manzoni,Folgaria,91,,14,38064,Carbonare,MINIMARKET SCALZERI GIANNA,[]
Via E. Colpi,Folgaria,92,,1,38064,,ANTICA MACELLERIA E SALUMERIA CAPPELLETTI DI CAPPELLETTI ANDREA,['MACELLERIA']
Via E. Colpi,Folgaria,93,,21,38064,,NEGOZIO MARIAROSA DI FESTI GIUSTINO,[]
Via E. Colpi,Folgaria,94,,171,38064,,MACELLERIA CANALIA MAURO,['MACELLERIA']
,Folgaria,95,,160,38064,Fondo Grande,BAR RISTORANTE CONCA D’ORO DI GEROLA FIORENZO,"['BAR', 'RISTORANTE']"
Via L. Nazionale,Folgaria,96,,49,38064,San Sebastiano,RISTORANTE BAR ALBERGO AL SOLE DI ALICE E MARIANNA DALPRA’ SNC,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Roma,Folgaria,97,, 71/73,38064,,EDICOLA RIVENDITA TABACCHI N° 3 DI WEGHER PAOLO,['TABACCHI']
Via E. Colpi,Folgaria,98,,135,38064,,MILLE COSE SNC DI PLOTEGHER MAURO E MICHELA & C.,[]
Via Mercerie,Rovereto,99,, 7-9,38068,,SPECIALITA’ ALIMENTARI DI PAOLO E GIANNI ALIMENTARI FINAROLLI DI GILBERTI PAOLO & C. S.N.C.,['ALIMENTARI']
Via Paoli,Rovereto,100,esercizio commerciale, 18/B,38048,,LUIGI ALDRIGHETTONI DI ALDRIGHETTONI GIOVANNI BATTISTA,[]
Via Benaco,Torbole sul Garda,101,,35,38033,,RISTORANTE  BAR BENACO di NODARI GIOVANNI & C. S.A.S.,"['BAR', 'RISTORANTE']"
Piazza Municipio,Pergine Valsugana,102,,4,38057,,CAFFE’ ALEXANDER BERNARDI GIORGIO & C. SNC,[]
Piazza Municipio,Pergine Valsugana,103,esercizio commerciale,20,38057,,OCHNER LUIGI,[]
Via Al Ponte,Pergine Valsugana,104,,4,38057,,BAR AL PONTE di TARGA MATTEO,['BAR']
,Lavarone,106,,105,38046,Gionghi,PANIFICIO BERTOLDI S.N.C. DI BERTOLDI FABIO & C.,['PANIFICIO']
Piazza Milano,Lavarone,107,ristorante bar,2,38046,,CERVO S.N.C. DI MARCHESI CARLO & F.LLI,"['BAR', 'RISTORANTE']"
,Lavarone,108,,96,38046,Gionghi,PICCOLO BAZAR DI GIONGO MARIO,['BAZAR']
Via Trieste,Lavarone,109,esercizio commerciale,18,38046,,STENGHELE FRATELLI S.N.C. DI STENGHELE FRANCESCO GINO & C.,[]
Via Trieste,Lavarone,110,,32,38046,,RISTORANTE BAR HOTEL DU LAC DI GABRIELLI ANDREA & C. S.A.S.,"['BAR', 'RISTORANTE', 'HOTEL']"
,Lavarone,111,,5,38046,Bertoldi,FAMIGLIA COOPERATIVA LAVARONE S.C.A.R.L.,[]
Via Piave,Pergine Valsugana,113,esercizio commerciale,6,38057,,DALSASSO EUGENIO,[]
Via Chimelli,Pergine Valsugana,114,,18,38057,,A.B. INTIMO DI BRUNELLI SILVANA E EVANGELISTI LUIGINO S.N.C.,[]
Viale Venezia,Pergine Valsugana,115,ristorante,37,38057,,LA ROTONDA DI BETTI MARCO & C. S.N.C.,['RISTORANTE']
Corso Roma,Baselga di Piné,116,,72,38042,,GIOIELLERIA ANDREATTA SAS DI ANDREATTA ALESSANDRO & C.,[]
Piazza Pasi,Trento,117,,20,38122,,FARMACIA DE BATTAGLIA,['FARMACIA']
Via Calepina,Trento,119,,63,38122,,MOSER CICLI,[]
Via San Vigilio,Trento,120,,7,38122,,FOTO CINE LA ROTONDA,[]
Piazza Filzi,Rovereto,121,,21,38068,,FARMACIA DOTT. SANTONI,['FARMACIA']
Viale Dante,Tione di Trento,122,,50,38079,,OREFICERIA FRANCO GOTTARDI,[]
,Lavarone,123,,57,38046,Bertoldi,BAR BELEM DI BERTOLDI FRANCA,['BAR']
Piazza Milano,Lavarone,124,bar,6,38046, Cappella,BAR ALBERGO NAZIONALE DI PACE ENLI & C. SNC,"['BAR', 'ALBERGO']"
Piazza Milano,Lavarone,125,,6,38046, Cappella,TABACCHI PACE ENLI,['TABACCHI']
Via Marconi,Lavarone,126,,5,38046, Cappella,CASEIFICIO DEGLI ALTIPIANI E DEL VEZZENA S.C.A.,[]
Via S. Bernardino,Arco,127,,2,38062,,FOTO EMANUELLI,[]
Via Vergolano,Arco,128,,16,38062,,BAZAR DEL POPOLO,['BAZAR']
Via Segantini,Arco,130,,78,38062,,MANIFATTURE LOMBARDE,['BAR']
Via Segantini,Arco,131,,105,38062,,CALZATURE GIULIANI,['CALZATURE']
Via S. Bernardino,Arco,132,,9,38062,,ALIMENTARI TRENTI,['ALIMENTARI']
Piazza 3 Novembre,Arco,133,,6,38062,,ZAMBONI TESSUTI,[]
Via Ferrera,Arco,134,,22,38062,,RISTORANTE HOTEL MARCHI,"['RISTORANTE', 'HOTEL']"
Via Vergolano,Arco,135,,8,38062,,RISTORANTE ALLA LEGA,['RISTORANTE']
Via Serafini,Arco,136,,2,38062,,RISTORANTE BELVEDERE,['RISTORANTE']
Via Cavour,Trento,137,,23,38122,,PANIFICIO PULIN SAS,['PANIFICIO']
Via del Foro,Tione di Trento,138,,14,38079,,ANTICA MACELLERIA BALLARDINI,['MACELLERIA']
Viale Dante,Tione di Trento,139,,5,38079,,CARTOLIBRERIA B. ANTOLINI,[]
Via del Moleta,Cinte Tesino,140,esercizio commerciale,8,38050,,DI FLORIO MARIA TERESA,[]
Piazza San Felice,Mori,141,,12,38065, Valle San Felice,FAMIGLIA COOEPRATIVA VALLE SAN FELICE,[]
Piazza Cal Di Ponte,Mori,142,,15,38065,,ABBIGLIAMENTO MAGANOTTI MARIA GRAZIA,[]
Via del Garda,Mori,143,,1,38065, Loppio,TRATTORIA - BAR AL LAGO,['BAR']
Largo Villanuova,Mori,144,,32,38065,,FABBRICA RETI E MATERIASSI MENEGHELLI,[]
Via Modena,Mori,145,,51,38065,,LA BOTTEGA DI GARUFFO LIA,[]
Via Modena,Mori,146,,35,38065,,VINERIA – BAR BAROLDI,['BAR']
Piazza Cal Di Ponte,Mori,147,,16,38065,,BAR SANI,['BAR']
Via Monte Baldo,Mori,148,, 6/A,38065,,FORGIATURA MARCHIORI,[]
Piazza Cal Di Ponte,Mori,149,,4,38065,,FERRAMENTA MALFATTI,['FERRAMENTA']
Via Matteotti,Mori,150,,96,38065,,OFFICINA BOMBARDELLI,['BAR']
Piazza Cal Di Ponte,Mori,151,,28,38065,,EDICOLA CARTOLERIA PERINI,[]
Via Modena,Mori,152,,2,38065,,ALIMENTARI MIORELLI,['ALIMENTARI']
Via Garibaldi,Mori,153,,3,38065,,CAFFE’ DEL GELSO,[]
Via Modena,Mori,154,,1,38065,,MACELLERIA TRANQUILLINI,['MACELLERIA']
Via Malfatti,Mori,155,,6,38065,,FARMACIA S. STEFANO,['FARMACIA']
Via Don  Sturzo,Mori,156,,6,38065,,SUPERMARKET ZENI,[]
Via Modena,Mori,157,,65,38065,,LAVANDERIA LA RINNOVA,[]
Piazza Cal Di Ponte,Mori,158,,32,38065,,PANIFICIO SARTORI,['PANIFICIO']
Piazza Concei,Ledro,159,,3,38067, Bezzecca,BAR RISTORANTE ALBERGO ALLA COSTA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Garibaldi,Ledro,160,,63,38067, Tiarno di Sotto,BAR RISTORANTE ALBERGO ALLA PERLA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via Cassoni,Ledro,161,,16,38067, Pieve di Ledro,BAR RISTORANTE ALBERGO ALPINO,"['BAR', 'RISTORANTE', 'ALBERGO']"
